City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,Hammond,41.58,-87.5,86.0,40,75,5.37,US,2020-06-20 01:34:35
228,Wukari,7.85,9.78,72.07,85,99,3.47,NG,2020-06-20 01:35:23
229,Salalah,17.02,54.09,82.4,88,20,3.36,OM,2020-06-20 01:35:23
230,Chupa,66.27,33.05,47.16,70,5,5.21,RU,2020-06-20 01:35:23
231,Huangmei,30.19,116.03,71.74,88,97,4.0,CN,2020-06-20 01:35:23
232,Capitan Bado,-23.27,-55.53,67.51,72,0,8.9,PY,2020-06-20 01:35:24
233,Rawson,-43.3,-65.1,49.24,49,0,16.33,AR,2020-06-20 01:35:24
234,Provideniya,64.38,-173.3,59.49,40,13,6.38,RU,2020-06-20 01:34:33
235,Samarai,-10.62,150.67,79.61,85,73,12.3,PG,2020-06-20 01:35:24
236,Xining,36.62,101.77,70.48,40,52,3.6,CN,2020-06-20 01:35:25
237,Tokur,53.13,132.9,59.22,59,71,2.62,RU,2020-06-20 01:35:25
238,Vardo,70.37,31.11,43.83,76,100,16.15,NO,2020-06-20 01:35:25
239,Vestmanna,62.16,-7.17,50.0,100,100,26.4,FO,2020-06-20 01:35:25
240,Bilma,18.69,12.92,83.32,16,58,3.42,NE,2020-06-20 01:35:26
241,Stonewall,50.13,-97.33,68.0,42,20,6.93,CA,2020-06-20 01:35:26
242,Banda Aceh,5.56,95.32,84.52,68,86,6.96,ID,2020-06-20 01:35:26
243,Vila Velha,-20.33,-40.29,71.6,94,75,2.24,BR,2020-06-20 01:35:26
244,Dunedin,-45.87,170.5,54.0,65,31,8.01,NZ,2020-06-20 01:31:23
245,Flinders,-34.58,150.86,68.0,67,12,13.0,AU,2020-06-20 01:35:27
246,Asau,46.43,26.4,62.01,85,89,5.5,RO,2020-06-20 01:35:27
247,Meulaboh,4.14,96.13,80.92,73,99,3.29,ID,2020-06-20 01:35:27
248,Grand Gaube,-20.01,57.66,71.01,74,75,11.99,MU,2020-06-20 01:35:28
249,Zhigansk,66.77,123.37,76.06,33,20,8.19,RU,2020-06-20 01:35:17
250,Colares,38.8,-9.45,64.0,89,0,13.0,PT,2020-06-20 01:35:28
251,Wajir,1.75,40.06,73.78,69,100,10.67,KE,2020-06-20 01:35:28
252,Willmar,45.12,-95.04,71.6,49,1,4.7,US,2020-06-20 01:33:48
253,Lasa,46.62,10.7,46.4,81,40,8.05,IT,2020-06-20 01:35:03
254,Methoni,36.82,21.7,69.01,72,28,11.92,GR,2020-06-20 01:35:29
255,Kalabo,-14.97,22.68,47.91,75,73,4.76,ZM,2020-06-20 01:35:29
256,Hammerfest,70.66,23.68,42.8,70,75,13.87,NO,2020-06-20 01:35:29
257,Bunbury,-33.33,115.63,53.01,64,0,12.44,AU,2020-06-20 01:35:29
258,Petropavlovsk-Kamchatskiy,53.05,158.65,51.8,71,40,8.95,RU,2020-06-20 01:30:46
259,Ambilobe,-13.2,49.05,69.24,97,100,2.42,MG,2020-06-20 01:35:30
260,Vostok,46.49,135.88,60.4,63,99,2.77,RU,2020-06-20 01:35:30
261,Fukue,32.69,128.84,71.6,78,75,16.11,JP,2020-06-20 01:35:30
262,Port Macquarie,-31.43,152.92,63.0,74,69,1.01,AU,2020-06-20 01:30:53
263,Carauari,-4.88,-66.9,73.76,97,100,1.77,BR,2020-06-20 01:35:31
264,Alta Floresta,-9.88,-56.09,70.81,69,32,2.68,BR,2020-06-20 01:35:31
265,Airai,-8.93,125.41,68.31,82,96,5.95,TL,2020-06-20 01:35:31
266,Mugla,37.23,28.36,71.6,82,0,4.7,TR,2020-06-20 01:35:31
267,Deputatskiy,69.3,139.9,82.06,23,0,8.1,RU,2020-06-20 01:35:32
268,Adelaide,-34.93,138.6,57.99,82,75,17.22,AU,2020-06-20 01:31:13
269,Gaur,26.77,85.27,79.93,83,100,13.47,NP,2020-06-20 01:33:50
270,Trelew,-43.25,-65.31,48.36,50,0,14.76,AR,2020-06-20 01:31:29
271,Tessalit,20.2,1.01,89.46,24,0,4.9,ML,2020-06-20 01:35:32
272,Komsomolskiy,40.43,71.72,71.6,33,0,9.17,UZ,2020-06-20 01:35:33
273,Namatanai,-3.67,152.43,85.48,68,24,2.15,PG,2020-06-20 01:35:33
274,Dikson,73.51,80.55,36.37,83,0,2.86,RU,2020-06-20 01:35:33
275,Hegang,47.4,130.37,63.52,68,99,8.23,CN,2020-06-20 01:35:33
276,Kungurtug,50.6,97.52,62.73,50,100,1.32,RU,2020-06-20 01:35:29
277,Port-Gentil,-0.72,8.78,73.62,87,82,6.82,GA,2020-06-20 01:35:34
278,Shirpur,21.35,74.88,82.9,72,94,14.29,IN,2020-06-20 01:35:34
279,Praia Da Vitoria,38.73,-27.07,68.0,77,75,9.95,PT,2020-06-20 01:35:34
280,Devonport,-41.17,146.35,55.99,71,100,4.0,AU,2020-06-20 01:35:34
